-30,-8,60
-31,-9,60
-22,-12,62
-22,-13,60
-31,-17,56
-24,-20,61
-24,-23,59
-26,-23,61
-25,-22,63
-25,-24,61
-24,-25,62
-24,-28,60
-20,-30,58
-20,-31,54
-29,-32,46
-24,-33,44
-18,-31,46
-29,-33,42
-24,-33,45
-16,-33,47
-16,-31,46
-18,-31,44
-21,-31,44
-14,-30,46
-13,-27,42
-15,-26,44
-9,-20,52
-7,-18,53
-2,-12,54
4,-8,55
5,-4,60
9,1,62
11,6,64
7,13,72
5,14,72
5,5,74
6,-1,73
5,-6,67
7,-9,64
2,-6,65
2,-2,63
-2,-1,58
-2,3,58
1,-3,52
-2,-6,53
1,-4,72
7,-5,69
-3,-7,60
-4,-6,69
-7,-6,60
-6,-8,66
3,-1,70
-17,-3,61
-16,3,63
-17,2,61
-19,2,61
-21,3,62
-15,3,63
-16,5,60
-20,2,62
-25,1,59
-22,2,61
-23,1,60
-20,2,61
-21,2,59
-19,1,61
-19,0,61
-17,0,61
-19,4,60
-18,4,61
-18,3,62
-22,3,60
-22,3,60
-19,2,61
-20,2,61
-19,3,61
-19,2,61
-19,2,61
-19,3,61
-19,3,61
-19,2,61
-20,3,61
-20,4,61
-19,3,61
-18,3,61
-19,2,60
-19,3,61
-20,3,61
-18,3,61
-18,3,61
-21,4,61
-18,3,61
-18,3,61
-19,3,61
-20,2,60
-17,2,61
-18,3,63
-16,3,63
-19,2,60
-19,2,61
-16,2,61
-23,3,61
-21,3,61
-17,2,61
-14,2,61
-25,4,61
-25,3,59
-20,3,61
-15,3,62
-20,2,61
-20,2,60
-20,2,61
-20,3,61
-23,3,61
-18,3,61
-16,3,62
-19,3,61
-27,3,58
-23,3,60
-17,3,62
-17,3,61
-23,3,60
-26,3,59
-19,3,61
-16,2,62
-18,3,61
-21,3,60
-21,3,60
-20,3,61
-22,3,60
-22,2,60
-18,3,61
-18,3,61
-21,2,60
-22,3,61
-20,3,60
-18,3,62
-18,3,61
-20,3,61
-21,3,60
-19,3,61
-20,3,60
-21,3,61
-19,3,61
-19,3,61
-19,2,60
-23,3,60
-22,3,60
-17,3,61
-17,3,61
-18,2,60
-21,1,59
-21,4,62
-20,4,62
-19,3,61
-18,3,61
-20,3,61
-20,3,62
-19,4,61
-20,3,60
-18,3,61
-20,3,60
-20,4,61
-18,3,61
-21,4,61
-20,4,61
-20,4,61
-21,3,60
-18,3,61
-21,4,60
-20,4,61
-18,4,61
-19,4,61
-20,4,61
-19,4,61
-19,4,61
-20,4,60
-18,3,61
-20,4,61
-21,4,61
-21,3,61
-22,5,63
-21,3,59
-17,4,62
-20,4,61
-22,4,60
-19,4,62
-19,3,61
-20,3,60
-22,3,60
-21,3,61
-18,3,61
-20,3,61
-21,3,61
-22,4,61
-20,3,61
-19,4,61
-18,5,64
-19,4,64
-19,4,65
-22,4,68
-23,2,66
-27,-1,60
-25,-4,59
-24,-7,59
-33,-9,55
-35,-10,54
-31,-14,53
-32,-16,53
-29,-15,55
-22,-13,57
-23,-13,53
-29,-6,46
-32,-1,49
-26,6,56
-26,4,59
-22,-1,61
-24,-2,56
-24,-1,57
-30,2,62
-25,0,68
-25,-6,59
-28,-8,49
-24,-9,54
-27,-7,57
-29,-2,57
-34,0,58
-34,-1,58
-26,-3,61
-26,-5,55
-26,-4,54
-38,2,58
-32,1,65
-23,-2,58
-28,-3,56
-25,-5,58
-25,-4,62
-23,-4,61
-26,-3,57
-26,-3,61
-28,-3,55
-29,-3,66
-32,-2,62
-27,-4,54
-23,-5,54
-24,-5,54
